"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","659","10","1","465.104828","0","29493"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","3","1","6.460837","0","17"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","4","1","2.253459","0","5"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","6","1","4.749260","0","9"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","53","4","1","182.031189","0","331"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","10","1","5.240270","0","14"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","93","10","1","65.712074","0","1642"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","139","8","1","105.682037","0","1765"
"Globals","49","5066","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","4","4","1","2.799033","0","6"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","6","4","1","4.029143","0","17"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","17","1","1","11.735569","0","171"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","5","1","1","3.049993","0","19"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","5","1","1","3.339624","0","19"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","6","1","1","3.444619","0","23"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","7","1","1","4.142362","0","34"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","4","1","1","2.310114","0","13"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","9","1","1","5.030547","0","53"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","5","1","1","3.431077","0","19"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","28","1","1","19.754816","0","433"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","14","1","1","10.572186","0","118"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","12","1","1","8.055369","0","89"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","5","1","1","3.306733","0","19"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","145","2","1","87.715355","0","10481"
"/Engine/VREditor/TransformGizmo/Main.Main","49","5","1","1","3.228468","0","19"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","49","4","1","1","2.428587","0","13"
"/Game/Assets/Items/Materials/MUI_Circle.MUI_Circle","49","25","1","1","11.879341","0","348"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","52","1","1","50.789394","0","1421"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","52","1","1","48.357269","0","1309"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","52","1","1","45.441994","0","1402"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","28","1","1","18.788246","0","433"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","7","1","1","3.670548","0","34"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","9","1","1","4.859517","0","47"
"/ControlRig/M_Manip.M_Manip","49","9","5","1","4.563000","0","39"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","48","2","2","28.354824","0","766"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","6","1","1","3.111177","0","26"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","4","1","1","2.488641","0","13"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","49","6","1","1","4.703692","0","26"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","58","7","6","32.553028","0","455"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","53","1","1","50.358150","0","1362"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","10","4","1","5.825159","0","42"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","93","1","1","64.845215","0","4272"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","139","1","1","96.793098","0","4607"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","880","1","1","539.783875","0","94246"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","30","1","1","17.607710","0","417"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","6","1","1","2.869093","0","26"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","6","1","1","2.938620","0","26"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","145","1","1","85.999794","0","5853"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","49","14","1","1","9.456978","0","118"
"/Game/Assets/Items/Materials/M_Custom_Lit_Sprite.M_Custom_Lit_Sprite","49","30","1","1","18.363705","0","404"
"/Paper2D/DefaultLitSpriteMaterial.DefaultLitSpriteMaterial","49","46","2","2","30.442745","0","580"
"/Game/Inventory/Materials/MUI_Message.MUI_Message","49","12","1","1","5.448261","0","89"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","60","1","1","45.961758","0","1426"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","86","1","1","70.169792","0","2963"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","49","14","1","1","9.518063","0","118"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","49","15","1","1","12.653733","0","142"
"/Interchange/gltf/M_Unlit.M_Unlit","49","36","2","2","19.492180","0","364"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","49","24","1","1","49.977882","0","279"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","49","14","1","1","9.574604","0","106"
"/Interchange/Materials/SheenMaterial.SheenMaterial","49","14","1","1","9.310678","0","95"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","49","14","1","1","9.576164","0","105"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","49","14","1","1","9.456800","0","99"
"/Interchange/gltf/M_Transmission.M_Transmission","49","108","4","4","220.435669","0","1344"
"/Interchange/gltf/M_Sheen.M_Sheen","49","120","4","4","75.437363","0","1576"
"/Interchange/gltf/M_Translucent.M_Translucent","49","200","8","8","418.670685","0","2176"
"/Interchange/gltf/M_Opaque.M_Opaque","49","240","10","8","158.763062","0","2626"
